,dataset,filename,actor,emotion,length,gender,set
0,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,01,neutral,1.2673015873015874,male,train
1,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,01,neutral,1.2965079365079366,male,train
2,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,01,neutral,1.2923809523809524,male,train
3,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,01,neutral,1.2411337868480725,male,train
4,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,01,happy,1.5196371882086168,male,train
5,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,01,happy,1.6440362811791382,male,train
6,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,01,happy,1.5281632653061223,male,train
7,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,01,happy,1.7384580498866213,male,train
8,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,01,happy,1.691655328798186,male,train
9,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,01,happy,1.856281179138322,male,train
10,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,01,happy,1.9954648526077097,male,test
11,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,01,happy,1.999092970521542,male,train
12,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,01,sad,1.7151927437641723,male,train
13,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,01,sad,1.5268027210884354,male,train
14,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,01,sad,1.4299319727891155,male,train
15,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,01,sad,1.4043990929705215,male,train
16,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-01-01-01.wav,01,sad,1.7969614512471654,male,train
17,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-01-02-01.wav,01,sad,1.7136961451247166,male,train
18,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-02-01-01.wav,01,sad,1.7620861678004536,male,train
19,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-02-02-01.wav,01,sad,1.767845804988662,male,train
20,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-01-01-01.wav,01,angry,1.921360544217687,male,train
21,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-01-02-01.wav,01,angry,2.015873015873016,male,train
22,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-02-01-01.wav,01,angry,1.6004988662131518,male,train
23,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-02-02-01.wav,01,angry,1.8522448979591837,male,test
24,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-01-01-01.wav,01,angry,2.83859410430839,male,train
25,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-01-02-01.wav,01,angry,3.2829478458049888,male,train
26,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-02-01-01.wav,01,angry,2.602267573696145,male,train
27,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-02-02-01.wav,01,angry,2.9235827664399094,male,train
28,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-01-01-01.wav,01,fearful,1.7810430839002267,male,train
29,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-01-02-01.wav,01,fearful,1.6946031746031747,male,train
30,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-02-01-01.wav,01,fearful,1.6829024943310658,male,train
31,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-02-02-01.wav,01,fearful,1.7695691609977324,male,test
32,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-01-01-01.wav,01,fearful,3.560362811791383,male,train
33,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-01-02-01.wav,01,fearful,2.9462585034013604,male,train
34,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-02-01-01.wav,01,fearful,3.100498866213152,male,train
35,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-02-02-01.wav,01,fearful,2.371791383219955,male,train
36,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-01-01-01.wav,01,disgusted,1.8891609977324264,male,train
37,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-01-02-01.wav,01,disgusted,1.8873015873015873,male,train
38,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-02-01-01.wav,01,disgusted,1.8865759637188209,male,train
39,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-02-02-01.wav,01,disgusted,1.8661678004535147,male,train
40,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-01-01-01.wav,01,disgusted,2.7015873015873018,male,train
41,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-01-02-01.wav,01,disgusted,2.405260770975057,male,train
42,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-02-01-01.wav,01,disgusted,2.469886621315193,male,train
43,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-02-02-01.wav,01,disgusted,2.3276190476190477,male,test
44,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-01-01-01.wav,01,surprised,1.4151473922902493,male,test
45,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-01-02-01.wav,01,surprised,1.2532426303854876,male,train
46,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-02-01-01.wav,01,surprised,1.5510657596371882,male,train
47,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-02-02-01.wav,01,surprised,1.341814058956916,male,train
48,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-01-01-01.wav,01,surprised,1.4998639455782312,male,train
49,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-01-02-01.wav,01,surprised,1.6093877551020408,male,test
50,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-02-01-01.wav,01,surprised,1.5959637188208617,male,train
51,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-02-02-01.wav,01,surprised,1.3391836734693878,male,test
52,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-01-01-02.wav,02,neutral,1.649750566893424,female,train
53,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-01-02-02.wav,02,neutral,1.6482993197278912,female,train
54,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-02-01-02.wav,02,neutral,1.7779591836734694,female,test
55,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-02-02-02.wav,02,neutral,1.6159637188208618,female,train
56,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-01-01-02.wav,02,happy,1.6519727891156462,female,test
57,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-01-02-02.wav,02,happy,1.743310657596372,female,train
58,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-02-01-02.wav,02,happy,1.7839909297052154,female,test
59,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-02-02-02.wav,02,happy,1.776190476190476,female,train
60,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-01-01-02.wav,02,happy,2.011292517006803,female,train
61,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-01-02-02.wav,02,happy,2.0621315192743763,female,train
62,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-02-01-02.wav,02,happy,1.7526530612244897,female,train
