,dataset,filename,actor,emotion,length,gender,set
0,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,1,neutral,1.267301587,male,train
1,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,1,neutral,1.296507937,male,train
2,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,1,neutral,1.292380952,male,train
3,RAVDESS,clean/RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,1,neutral,1.241133787,male,train
4,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,1,happy,1.519637188,male,train
5,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,1,happy,1.644036281,male,train
6,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,1,happy,1.528163265,male,train
7,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,1,happy,1.73845805,male,train
8,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,1,happy,1.691655329,male,train
9,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,1,happy,1.856281179,male,train
10,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,1,happy,1.995464853,male,test
11,RAVDESS,clean/RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,1,happy,1.999092971,male,train
12,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,1,sad,1.715192744,male,train
13,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,1,sad,1.526802721,male,train
14,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,1,sad,1.429931973,male,train
15,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,1,sad,1.404399093,male,train
16,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-01-01-01.wav,1,sad,1.796961451,male,train
17,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-01-02-01.wav,1,sad,1.713696145,male,train
18,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-02-01-01.wav,1,sad,1.762086168,male,train
19,RAVDESS,clean/RAVDESS\Actor_01\03-01-04-02-02-02-01.wav,1,sad,1.767845805,male,train
20,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-01-01-01.wav,1,angry,1.921360544,male,train
21,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-01-02-01.wav,1,angry,2.015873016,male,train
22,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-02-01-01.wav,1,angry,1.600498866,male,train
23,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-01-02-02-01.wav,1,angry,1.852244898,male,test
24,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-01-01-01.wav,1,angry,2.838594104,male,train
25,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-01-02-01.wav,1,angry,3.282947846,male,train
26,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-02-01-01.wav,1,angry,2.602267574,male,train
27,RAVDESS,clean/RAVDESS\Actor_01\03-01-05-02-02-02-01.wav,1,angry,2.923582766,male,train
28,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-01-01-01.wav,1,fearful,1.781043084,male,train
29,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-01-02-01.wav,1,fearful,1.694603175,male,train
30,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-02-01-01.wav,1,fearful,1.682902494,male,train
31,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-01-02-02-01.wav,1,fearful,1.769569161,male,test
32,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-01-01-01.wav,1,fearful,3.560362812,male,train
33,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-01-02-01.wav,1,fearful,2.946258503,male,train
34,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-02-01-01.wav,1,fearful,3.100498866,male,train
35,RAVDESS,clean/RAVDESS\Actor_01\03-01-06-02-02-02-01.wav,1,fearful,2.371791383,male,train
36,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-01-01-01.wav,1,disgusted,1.889160998,male,train
37,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-01-02-01.wav,1,disgusted,1.887301587,male,train
38,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-02-01-01.wav,1,disgusted,1.886575964,male,train
39,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-01-02-02-01.wav,1,disgusted,1.8661678,male,train
40,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-01-01-01.wav,1,disgusted,2.701587302,male,train
41,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-01-02-01.wav,1,disgusted,2.405260771,male,train
42,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-02-01-01.wav,1,disgusted,2.469886621,male,train
43,RAVDESS,clean/RAVDESS\Actor_01\03-01-07-02-02-02-01.wav,1,disgusted,2.327619048,male,test
44,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-01-01-01.wav,1,surprised,1.415147392,male,test
45,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-01-02-01.wav,1,surprised,1.25324263,male,train
46,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-02-01-01.wav,1,surprised,1.55106576,male,train
47,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-01-02-02-01.wav,1,surprised,1.341814059,male,train
48,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-01-01-01.wav,1,surprised,1.499863946,male,train
49,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-01-02-01.wav,1,surprised,1.609387755,male,test
50,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-02-01-01.wav,1,surprised,1.595963719,male,train
51,RAVDESS,clean/RAVDESS\Actor_01\03-01-08-02-02-02-01.wav,1,surprised,1.339183673,male,test
52,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-01-01-02.wav,2,neutral,1.649750567,female,train
53,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-01-02-02.wav,2,neutral,1.64829932,female,train
54,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-02-01-02.wav,2,neutral,1.777959184,female,test
55,RAVDESS,clean/RAVDESS\Actor_02\03-01-01-01-02-02-02.wav,2,neutral,1.615963719,female,train
56,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-01-01-02.wav,2,happy,1.651972789,female,test
57,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-01-02-02.wav,2,happy,1.743310658,female,train
58,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-02-01-02.wav,2,happy,1.78399093,female,test
59,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-01-02-02-02.wav,2,happy,1.776190476,female,train
60,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-01-01-02.wav,2,happy,2.011292517,female,train
61,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-01-02-02.wav,2,happy,2.062131519,female,train
62,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-02-01-02.wav,2,happy,1.752653061,female,train
63,RAVDESS,clean/RAVDESS\Actor_02\03-01-03-02-02-02-02.wav,2,happy,1.939818594,female,test
64,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-01-01-01-02.wav,2,sad,1.81814059,female,train
65,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-01-01-02-02.wav,2,sad,1.803764172,female,test
66,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-01-02-01-02.wav,2,sad,1.767120181,female,train
67,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-01-02-02-02.wav,2,sad,1.813605442,female,train
68,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-02-01-01-02.wav,2,sad,1.687664399,female,train
69,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-02-01-02-02.wav,2,sad,1.815056689,female,train
70,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-02-02-01-02.wav,2,sad,1.727165533,female,test
71,RAVDESS,clean/RAVDESS\Actor_02\03-01-04-02-02-02-02.wav,2,sad,1.697687075,female,train
72,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-01-01-01-02.wav,2,angry,1.718095238,female,train
73,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-01-01-02-02.wav,2,angry,1.954195011,female,train
74,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-01-02-01-02.wav,2,angry,1.838639456,female,train
75,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-01-02-02-02.wav,2,angry,1.90031746,female,train
76,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-02-01-01-02.wav,2,angry,1.950566893,female,test
77,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-02-01-02-02.wav,2,angry,2.008480726,female,train
78,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-02-02-01-02.wav,2,angry,2.014240363,female,test
79,RAVDESS,clean/RAVDESS\Actor_02\03-01-05-02-02-02-02.wav,2,angry,2.062176871,female,train
80,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-01-01-01-02.wav,2,fearful,1.738866213,female,train
81,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-01-01-02-02.wav,2,fearful,1.77600907,female,test
82,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-01-02-01-02.wav,2,fearful,1.759047619,female,train
83,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-01-02-02-02.wav,2,fearful,1.77569161,female,train
84,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-02-01-01-02.wav,2,fearful,2.059455782,female,train
85,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-02-01-02-02.wav,2,fearful,1.845306122,female,train
86,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-02-02-01-02.wav,2,fearful,1.787845805,female,test
87,RAVDESS,clean/RAVDESS\Actor_02\03-01-06-02-02-02-02.wav,2,fearful,2.151882086,female,train
88,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-01-01-01-02.wav,2,disgusted,1.741995465,female,train
89,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-01-01-02-02.wav,2,disgusted,1.654240363,female,train
90,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-01-02-01-02.wav,2,disgusted,1.921950113,female,train
91,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-01-02-02-02.wav,2,disgusted,1.863038549,female,train
92,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-02-01-01-02.wav,2,disgusted,2.193560091,female,train
93,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-02-01-02-02.wav,2,disgusted,2.234557823,female,train
94,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-02-02-01-02.wav,2,disgusted,2.114875283,female,train
95,RAVDESS,clean/RAVDESS\Actor_02\03-01-07-02-02-02-02.wav,2,disgusted,2.146213152,female,train
96,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-01-01-01-02.wav,2,surprised,1.528344671,female,test
97,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-01-01-02-02.wav,2,surprised,1.589795918,female,train
98,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-01-02-01-02.wav,2,surprised,1.618321995,female,train
99,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-01-02-02-02.wav,2,surprised,1.562131519,female,train
100,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-02-01-01-02.wav,2,surprised,1.92553288,female,train
101,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-02-01-02-02.wav,2,surprised,1.913968254,female,test
102,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-02-02-01-02.wav,2,surprised,1.770884354,female,train
103,RAVDESS,clean/RAVDESS\Actor_02\03-01-08-02-02-02-02.wav,2,surprised,1.982494331,female,train
104,RAVDESS,clean/RAVDESS\Actor_03\03-01-01-01-01-01-03.wav,3,neutral,1.537913832,male,train
105,RAVDESS,clean/RAVDESS\Actor_03\03-01-01-01-01-02-03.wav,3,neutral,1.584852608,male,train
